"company_id","tenure_days","is_new_customer","is_mature_customer","days_to_contract_end","contract_expiring_soon","baseline_type","baseline_weekly_avg","max_weekly_activity","activities_w_1","activities_w_2","activities_w_3","activities_w_4","total_4weeks","avg_weekly_4weeks","week_1_vs_2_change","week_2_vs_3_change","week_3_vs_4_change","activity_correlation","current_vs_baseline_ratio","current_vs_max_ratio","weeks_with_activity","weeks_with_zero_activity","consecutive_zero_weeks","activity_consistency","total_activities","activities_last_30d","activities_last_7d","activities_last_3d","unique_tasks_30d","unique_days_active_30d","unique_days_active_7d","days_since_last_activity","activities_per_day_30d","activities_per_active_day_30d","strong_decline","moderate_decline","stable_trend","growing_trend","no_recent_activity","sporadic_user","inactive_user","dormant_user","below_baseline","well_below_max","highly_inconsistent","zero_activity_period","churn_probability","health_score","risk_level"
125694,897,0,1,28,1,"weeks_5-12",0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1393,0,0,0,0,0,0,138,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.94,6,"Critical Risk"
126538,877,0,1,229,0,"weeks_5-12",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,95,0,0,0,0,0,0,346,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.938,6.2,"Critical Risk"
1850,2021,0,1,28,1,"weeks_5-12",0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,423,0,0,0,0,0,0,1671,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.938,6.2,"Critical Risk"
134426,619,0,1,254,0,"weeks_5-12",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,38,0,0,0,0,0,0,474,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.936,6.4,"Critical Risk"
120601,1157,0,1,307,0,"weeks_5-12",0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,492,0,0,0,0,0,0,933,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.936,6.4,"Critical Risk"
7561,1347,0,1,197,0,"weeks_5-12",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,1253,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.934,6.6,"Critical Risk"
136447,552,0,1,200,0,"weeks_5-12",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,96,0,0,0,0,0,0,466,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.934,6.6,"Critical Risk"
136963,537,0,1,204,0,"weeks_5-12",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,75,0,0,0,0,0,0,278,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.934,6.6,"Critical Risk"
140234,481,0,1,265,0,"weeks_5-12",0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,355,0,0,0,0,0,0,374,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.932,6.8,"Critical Risk"
142173,428,0,1,11,1,"weeks_5-12",0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,402,0,0,0,0,0,0,233,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.932,6.8,"Critical Risk"
136176,560,0,1,15,1,"weeks_5-12",0.25,63,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,122,0,0,0,0,0,0,75,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.932,6.8,"Critical Risk"
139474,497,0,1,247,0,"weeks_5-12",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,79,0,0,0,0,0,0,418,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.93,7,"Critical Risk"
144061,370,0,1,7,1,"weeks_5-12",0.125,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,268,0,0,0,0,0,0,83,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.93,7,"Critical Risk"
138418,516,0,1,10,1,"weeks_5-12",2,82,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2004,0,0,0,0,0,0,72,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.93,7,"Critical Risk"
143169,398,0,1,347,0,"weeks_5-12",1.625,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,221,0,0,0,0,0,0,55,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.93,7,"Critical Risk"
125534,900,0,1,20,1,"weeks_5-12",2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,141,0,0,0,0,0,0,58,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.93,7,"Critical Risk"
122821,1005,0,1,23,1,"weeks_5-12",0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1194,0,0,0,0,0,0,453,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.93,7,"Critical Risk"
141827,438,0,1,1,1,"weeks_5-12",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,48,0,0,0,0,0,0,302,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.93,7,"Critical Risk"
3585,1745,0,1,21,1,"weeks_5-12",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,11,0,0,0,0,0,0,340,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.928,7.2,"Critical Risk"
127650,837,0,1,20,1,"weeks_5-12",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,39,0,0,0,0,0,0,629,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.928,7.2,"Critical Risk"
135341,586,0,1,6,1,"weeks_5-12",0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1596,0,0,0,0,0,0,302,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.928,7.2,"Critical Risk"
3346,1770,0,1,9,1,"weeks_5-12",0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,587,0,0,0,0,0,0,306,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.928,7.2,"Critical Risk"
136466,551,0,1,12,1,"weeks_5-12",0.125,30,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,193,0,0,0,0,0,0,66,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.928,7.2,"Critical Risk"
131916,695,0,1,14,1,"weeks_5-12",0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2977,0,0,0,0,0,0,102,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.928,7.2,"Critical Risk"
135182,591,0,1,16,1,"weeks_5-12",0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1647,0,0,0,0,0,0,257,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.928,7.2,"Critical Risk"
121608,1068,0,1,13,1,"weeks_5-12",3.125,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,429,0,0,0,0,0,0,44,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.926,7.4,"Critical Risk"
837,2344,0,1,15,1,"weeks_5-12",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,67,0,0,0,0,0,0,702,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0.926,7.4,"Critical Risk"
