company_id,tenure_days,is_new_customer,is_mature_customer,days_to_contract_end,contract_expiring_soon,baseline_type,baseline_weekly_avg,max_weekly_activity,activities_w_1,activities_w_2,activities_w_3,activities_w_4,total_4weeks,avg_weekly_4weeks,week_1_vs_2_change,week_2_vs_3_change,week_3_vs_4_change,activity_correlation,current_vs_baseline_ratio,current_vs_max_ratio,weeks_with_activity,weeks_with_zero_activity,consecutive_zero_weeks,activity_consistency,total_activities,activities_last_30d,activities_last_7d,activities_last_3d,unique_tasks_30d,unique_days_active_30d,unique_days_active_7d,days_since_last_activity,activities_per_day_30d,activities_per_active_day_30d,strong_decline,moderate_decline,stable_trend,growing_trend,no_recent_activity,sporadic_user,inactive_user,dormant_user,below_baseline,well_below_max,highly_inconsistent,zero_activity_period,churn_probability,health_score,risk_level,company,num_contacts,quantity
150345,181,0,0,23,1,weeks_5-12,49.25,86,0,0,0,26,26,6.5,0.0,0.0,-1.0,-0.774596669241483,0.131979695431472,0.0755813953488372,1,3,3,1.96969696969697,1184,47,0,0,3,4,0,25,1.56666666666667,11.75,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Yolotli,5,14
152352,153,0,0,29,1,weeks_5-12,90.125,122,0,0,0,47,47,11.75,0.0,0.0,-1.0,-0.774596669241483,0.130374479889043,0.0963114754098361,1,3,3,1.9831223628692,878,59,0,0,2,5,0,25,1.96666666666667,11.8,1,0,0,0,1,1,1,0,1,1,0,1,0.04,96.0,Low Risk,Dr. D. Eschler - E. Wetzig Steuerberater Partnerschaft mbB,9,12
150070,187,0,0,197,0,weeks_5-12,27.5,43,0,0,0,18,18,4.5,0.0,0.0,-1.0,-0.774596669241483,0.163636363636364,0.104651162790698,1,3,3,1.95652173913044,538,20,0,0,2,4,0,25,0.666666666666667,5.0,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,Süd Klima,0,3
150339,181,0,0,200,0,weeks_5-12,60.25,83,0,0,0,39,39,9.75,0.0,0.0,-1.0,-0.774596669241483,0.161825726141079,0.117469879518072,1,3,3,1.97969543147208,1360,51,0,0,2,5,0,25,1.7,10.2,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,Kuhn Bestattungen GmbH & Co. KG,3,6
150487,174,0,0,201,0,weeks_5-12,56.375,95,0,0,0,39,39,9.75,0.0,0.0,-1.0,-0.774596669241483,0.172949002217295,0.102631578947368,1,3,3,1.97969543147208,1107,54,0,0,2,5,0,25,1.8,10.8,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,Lintech GmbH,14,10
151095,166,0,0,212,0,weeks_5-12,42.0,88,0,0,0,26,26,6.5,0.0,0.0,-1.0,-0.774596669241483,0.154761904761905,0.0738636363636364,1,3,3,1.96969696969697,1016,32,0,0,2,4,0,25,1.06666666666667,8.0,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,MTec Montageservice GmbH,0,4
150953,168,0,0,211,0,weeks_5-12,26.75,44,0,0,0,20,20,5.0,0.0,0.0,-1.0,-0.774596669241483,0.186915887850467,0.113636363636364,1,3,3,1.96078431372549,628,27,0,0,3,4,0,25,0.9,6.75,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,Metallbau Kümpel,0,4
151162,166,0,0,216,0,weeks_5-12,50.25,74,0,0,0,30,30,7.5,0.0,0.0,-1.0,-0.774596669241483,0.149253731343284,0.101351351351351,1,3,3,1.97368421052632,1118,45,0,0,2,5,0,25,1.5,9.0,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,SKDZ Schule für Kunst und Design,1,8
152394,153,0,0,579,0,weeks_5-12,39.25,70,0,0,0,23,23,5.75,0.0,0.0,-1.0,-0.774596669241483,0.146496815286624,0.0821428571428571,1,3,3,1.96581196581197,690,29,0,0,2,4,0,25,0.966666666666667,7.25,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,BNL Logistik GmbH,4,10
152455,153,0,0,590,0,weeks_5-12,30.75,36,0,0,0,17,17,4.25,0.0,0.0,-1.0,-0.774596669241483,0.138211382113821,0.118055555555556,1,3,3,1.95402298850575,511,21,0,0,2,4,0,25,0.7,5.25,1,0,0,0,1,1,1,0,1,1,0,1,0.038,96.2,Low Risk,Praxis Dr. Eder,0,7
